"CMS Certification Number (CCN)","Facility Name","Address Line 1","Address Line 2","City","State","Zip Code","County Name","PhoneNumber","CMS Region","Ownership Type","Certification Date"
"031519","HOSPICE FAMILY CARE, INC. - TUCSON","6300 EAST EL DORADO PLAZA, A-100","","TUCSON","AZ","85715","Pima","(520) 790-9299","9","For-Profit","06/08/1993"
"031520","BANNER HOSPICE","275 EAST GERMANN ROAD, SUITE 110N","","GILBERT","AZ","85297","Maricopa","(480) 657-1100","9","Non-Profit","01/12/1994"
"031521","HOSPICE COMPASSUS-CASA GRANDE","1675 EAST MONUMENT PLAZA DRIVE, SUITE A","","CASA GRANDE","AZ","85122","Pinal","(520) 421-7143","9","For-Profit","04/08/1994"
"031522","EDEN HOSPICE","622 SOUTH 5TH AVENUE","","SAFFORD","AZ","85546","Graham","(360) 892-6628","9","Non-Profit","07/21/1994"
"031523","HOSPICE COMPASSUS-PAYSON","511 SOUTH MUDSPRING ROAD, SUITE #1","","PAYSON","AZ","85541","Gila","(928) 472-6340","9","For-Profit","07/15/1994"
"031529","CASA DE LA PAZ HOSPICE","210 EL CAMINO REAL","","SIERRA VISTA","AZ","85635","Cochise","(520) 263-3835","9","Non-Profit","02/01/1995"
"031536","HOSPICE FAMILY CARE - PRESCOTT","3195 STILLWATER DRIVE, SUITE A","","PRESCOTT","AZ","86305","Yavapai","(928) 541-1740","9","For-Profit","09/21/1996"
"031537","HOSPICE FAMILY CARE, INC","1550 SOUTH ALMA SCHOOL ROAD, SUITE 102","","MESA","AZ","85210","Maricopa","(704) 662-0416","9","For-Profit","09/28/1996"
"031540","VALIANT HOSPICE & PALLIATIVE CARE, LLC","637 SOUTH 48TH STREET, SUITE 104","","TEMPE","AZ","85281","Maricopa","(602) 274-1952","9","For-Profit","03/13/1997"
"031543","HOSPICE OF HAVASU, INC.","365 SOUTH LAKE HAVASU AVENUE","","LAKE HAVASU CITY","AZ","86403","Mohave","(928) 453-2111","9","For-Profit","11/19/1997"
"031547","CASA DE LA LUZ HOSPICE","7740 NORTH ORACLE ROAD","","TUCSON","AZ","85704","Pima","(520) 544-9890","9","Other","06/14/1999"
"031548","HEARTLAND HOSPICE SERVICES","3112 NORTH SWAN ROAD","","TUCSON","AZ","85712","Pima","(520) 325-2790","9","For-Profit","06/03/1999"
"031550","HOSPICE COMPASSUS - WHITE MOUNTAIN","1789 WEST COMMERCE DRIVE, SUITE A","","LAKESIDE","AZ","85929","Navajo","(928) 368-4400","9","For-Profit","06/06/2001"
"031551","CHARLES WM. LEIGHTON, JR. HOSPICE, INC.","524 WEST MALEY PLACE","","WILLCOX","AZ","85643","Cochise","(520) 384-5878","9","Other","08/02/2001"
"031552","KINGMAN REGIONAL MEDICAL CENTER HOSPICE","2202 STOCKTON HILL ROAD, SUITE 200","","KINGMAN","AZ","86401","Mohave","(928) 757-0602","9","Non-Profit","02/08/2002"
"031553","PREMIER HOSPICE AND PALLIATIVE CARE, LLC","3550 NORTH CENTRAL AVENUE, SUITE 1200","","PHOENIX","AZ","85012","Maricopa","(602) 274-7572","9","For-Profit","09/24/2003"
"031555","COMPASSUS - PHOENIX","120 NORTH 44TH STREET, SUITE 150","","PHOENIX","AZ","85034","Maricopa","(623) 900-2645","9","For-Profit","09/02/2004"
"031556","THEMA HEALTH SERVICES","1725 EAST OSBORN ROAD","","PHOENIX","AZ","85016","Maricopa","(602) 889-4400","9","For-Profit","12/08/2004"
"031559","HOSPICE OF THE PINES","13207 STATE ROUTE 169, SUITE A","","DEWEY","AZ","86327","Yavapai","(928) 632-0111","9","For-Profit","06/16/2005"
"031560","HOSPICE COMPASSUS - SEDONA/ FLAGSTAFF/ PRESCOTT","70 BELL ROCK PLAZA, SUITE A, C, D","","SEDONA","AZ","86351","Coconino","(928) 284-0180","9","For-Profit","06/15/2005"
"031561","SERENITY HOSPICE & PALLIATIVE CARE","2999 NORTH 44TH STREET, SUITE 225","","PHOENIX","AZ","85018","Maricopa","(602) 216-2273","9","Other","06/08/2005"
"031562","VALOR HOSPICECARE, LLC","1820 EAST RIVER ROAD, SUITE 100","","TUCSON","AZ","85718","Pima","(520) 615-3996","9","Other","08/09/2005"
"031563","AMERICARE HOSPICE AND PALLIATIVE CARE","1212 NORTH SPENCER STREET, SUITE 2","","MESA","AZ","85203","Maricopa","(480) 726-7773","9","For-Profit","09/20/2005"
"031564","KINDRED HOSPICE","3107 CLEARWATER DRIVE, SUITE B","","PRESCOTT","AZ","86305","Yavapai","(928) 445-2522","9","For-Profit","09/27/2005"
"031565","INFINITY HOSPICE CARE, LLC","5110 NORTH 40TH STREET, SUITE 107","","PHOENIX","AZ","85018","Maricopa","(602) 381-0375","9","For-Profit","01/20/2006"
"031573","HOSPICE COMPASSUS - YUMA","2320 SOUTH 22ND DRIVE, OFFICE A","","YUMA","AZ","85364","Yuma","(928) 344-6100","9","For-Profit","06/14/2007"
"031576","TOHONO O'ODHAM HOSPICE","FEDERAL ROUTE 15, MILE POST 9","","SELLS","AZ","85634","Pima","(520) 383-1893","9","Other","04/21/2008"
"031577","SOULISTIC HOSPICE","16-18 CALLE IGLESIA","","TUBAC","AZ","85646","Santa Cruz","(520) 398-2333","9","Non-Profit","10/17/2008"
"031578","EAST VALLEY HOSPICE, PLC","1311 WEST CHANDLER BOULEVARD, SUITE 200","","CHANDLER","AZ","85224","Maricopa","(480) 895-5434","9","Other","07/24/2008"
"031579","PRIME CARE HOSPICE, LLC","4225 WEST GLENDALE AVENUE, SUITE A-200","","PHOENIX","AZ","85051","Maricopa","(623) 847-2323","9","Other","09/17/2008"
"031581","HOSPICE COMPASSUS - BULLHEAD CITY","2755 SILVER CREEK ROAD, SUITE 211","","BULLHEAD CITY","AZ","86442","Mohave","(928) 763-6433","9","For-Profit","11/20/2008"
"031582","AVIANT HOSPICE GILA","136 SOUTH BROAD STREET","","GLOBE","AZ","85501","Gila","(928) 425-5400","9","For-Profit","03/19/2009"
"031583","AVIANT HOSPICE YAVAPAI","1756 EAST VILLA DRIVE, SUITE C17","","COTTONWOOD","AZ","86326","Yavapai","(928) 634-1073","9","For-Profit","05/12/2009"
"031584","GOOD SAMARITAN SOCIETY PRESCOTT HOSPICE","1065 RUTH STREET, SUITE 108-109","","PRESCOTT","AZ","86301","Yavapai","(928) 778-5655","9","Non-Profit","07/15/2009"
"031585","HARBOR LIGHT HOSPICE OF ARIZONA, INC","4703 NORTH 1ST AVENUE","","TUCSON","AZ","85718","Pima","(520) 546-5788","9","For-Profit","05/19/2009"
"031586","VALOR HOSPICECARE, LLC","1048 EAST FRY BOULEVARD, SUITE E","","SIERRA VISTA","AZ","85635","Cochise","(520) 458-9450","9","For-Profit","08/14/2009"
"031588","FAITH HOSPICE","426 NORTH 44TH STREET, SUITE 405","","PHOENIX","AZ","85008","Maricopa","(602) 476-2047","9","For-Profit","03/24/2010"
"031591","AVIANT HOSPICE PHOENIX","1400 NORTH GILBERT ROAD, SUITE H","","GILBERT","AZ","85234","Maricopa","(480) 398-3018","9","For-Profit","08/20/2010"
"031592","HOSPICE OF THE WEST, LLC","21410 NORTH 19TH AVENUE, SUITE 100","","PHOENIX","AZ","85027","Maricopa","(602) 343-6422","9","For-Profit","10/31/2010"
"031593","ARISTA HOSPICE","1636 NORTH SWAN, SUITE 250","","TUCSON","AZ","85712","Pima","(520) 333-0333","9","For-Profit","12/14/2010"
"031594","ZION'S WAY HOSPICE","47 6TH AVENUE","","PAGE","AZ","86040","Coconino","(928) 645-0366","9","For-Profit","01/17/2011"
"031595","EMBLEM HOSPICE","3205 WEST RAY ROAD, SUITE 2A","","CHANDLER","AZ","85226","Maricopa","(480) 821-8338","9","For-Profit","02/07/2011"
"031598","COMPREHENSIVE HOSPICE AND PALLIATIVE CARE, LLC","2111 EAST HIGHLAND AVENUE, SUITE B-425","","PHOENIX","AZ","85016","Maricopa","(602) 795-9705","9","For-Profit","08/05/2011"
"031599","ARIA HOSPICE COMFORT CARE","7225 NORTH MONA LISA ROAD, SUITE 101","","TUCSON","AZ","85741","Pima","(520) 547-7000","9","Other","10/14/2011"
"031600","SUMMIT HOSPICE","7310 NORTH 16TH STREET, SUITE 100A","","PHOENIX","AZ","85020","Maricopa","(602) 535-8255","9","Other","10/14/2011"
"031601","TRADITIONS HEALTH","1840 EAST UNIVERSITY DRIVE, SUITE 6","","MESA","AZ","85203","Maricopa","(480) 246-3560","9","For-Profit","07/07/2011"
"031602","SAGE HOSPICE LLC","5111 NORTH SCOTTSDALE ROAD, SUITE 204","","SCOTTSDALE","AZ","85250","Maricopa","(480) 777-5117","9","For-Profit","11/28/2011"
"031603","SEASONS HOSPICE & PALLIATIVE CARE OF ARIZONA LLC","1144 EAST JEFFERSON STREET","","PHOENIX","AZ","85034","Maricopa","(480) 606-1011","9","Combination Government & Non-Profit","12/02/2011"
