Year,National,State,State FIPS Code,Beneficiaries with Part A and Part B,FFS Beneficiaries,MA Beneficiaries,MA Participation Rate,Average Age,Percent Female,Percent Male,Percent Non-Hispanic White,Percent African American,Percent Hispanic,Percent Other/Unknown,Percent Eligible for Medicaid,Total Standardized Costs,Standardized Per Capita Costs,IP Standardized Costs as % of Total Standardized Costs,IP Per Capita Standardized Costs,IP Per User Standardized Costs,% of Beneficiaries Using IP,IP Covered Stays Per 1000 Beneficiaries,IP Covered Days Per 1000 Beneficiaries,Number of Acute Hospital Readmissions,Hospital Readmission Rate,Emergency Department Visits,Emergency Department Visits per 1000 Beneficiaries,% of Beneficiaries with an ED Visit,OP Standardized Costs as % of Total Standardized Costs,OP Per Capita Standardized Costs,OP Per User Standardized Costs,# OP Users,% of Beneficiaries Using OP,OP Visits Per 1000 Beneficiaries,ASC Standardized Costs as % of Total Standardized Costs,ASC Per Capita Standardized Costs,ASC Per User Standardized Costs,# ASC Users,% of Beneficiaries Using ASC,ASC Events Per 1000 Beneficiaries,PAC: SNF Standardized Costs,PAC: SNF Standardized Costs as % of Total Standardized Costs,PAC: SNF Per Capita Standardized Costs,PAC: SNF Per User Standardized Costs,# PAC: SNF Users (with a covered stay),% of Beneficiaries Using PAC: SNF,PAC: SNF Covered Stays Per 1000 Beneficiaries,PAC: SNF Covered Days Per 1000 Beneficiaries,PAC: IRF Standardized Costs,PAC: IRF Standardized Costs as % of Total Standardized Costs,PAC: IRF Per Capita Standardized Costs,PAC: IRF Per User Standardized Costs,# PAC: IRF Users (with a covered stay),% of Beneficiaries Using PAC: IRF,PAC: IRF Covered Stays Per 1000 Beneficiaries,PAC: LTCH Standardized Costs,PAC: LTCH Standardized Costs as % of Total Standardized Costs,PAC: LTCH Per Capita Standardized Costs,PAC: LTCH Per User Standardized Costs,# PAC: LTCH Users (with a covered stay),% of Beneficiaries Using PAC: LTCH,PAC: HH Standardized Costs,PAC: HH Standardized Costs as % of Total Standardized Costs,PAC: HH Per Capita Standardized Costs,PAC: HH Per User Standardized Costs,# PAC: HH Users,% of Beneficiaries Using PAC: HH,PAC: HH Episodes Per 1000 Beneficiaries,Hospice Standardized Costs,Hospice Standardized Costs as % of Total Standardized Costs,Hospice Per Capita Standardized Costs,Hospice Per User Standardized Costs,# Hospice Users (with a covered stay),% of Beneficiaries Using Hospice,Hospice Covered Stays Per 1000 Beneficiaries,Hospice Covered Days Per 1000 Beneficiaries,E&M Standardized Costs,E&M Standardized Costs as % of Total Standardized Costs,E&M Per Capita Standardized Costs,E&M Per User Standardized Costs,# E&M Users,% of Beneficiaries Using E&M,E&M Events Per 1000 Beneficiaries,Procedures Standardized Costs,Procedures Standardized Costs as % of Total Standardized Costs,Procedures Per Capita Standardized Costs,Procedures Per User Standardized Costs,# Procedure Users,% of Beneficiaries Using Procedures,Procedure Events Per 1000 Beneficiaries,Tests Standardized Costs,Tests Standardized Costs as % of Total Standardized Costs,Tests Per Capita Standardized Costs,Tests Per User Standardized Costs,# Test Users,% of Beneficiaries Using Tests,Test Events Per 1000 Beneficiaries,Imaging Standardized Costs,Imaging Standardized Costs as % of Total Standardized Costs,Imaging Per Capita Standardized Costs,Imaging Per User Standardized Costs,# Imaging Users,% of Beneficiaries Using Imaging,Imaging Events Per 1000 Beneficiaries,DME Standardized Costs,DME Standardized Costs as % of Total Standardized Costs,DME Per Capita Standardized Costs,DME Per User Standardized Costs,# DME Users,% of Beneficiaries Using DME,DME Events Per 1000 Beneficiaries,Outpatient Dialysis Facility Standardized Costs,Outpatient Dialysis Facility Standardized Costs as % of Total Standardized Costs,Outpatient Dialysis Facility Per Capita Standardized Costs,Outpatient Dialysis Facility Per User Standardized Costs,# Outpatient Dialysis Facility Users,% of Beneficiaries Using Outpatient Dialysis Facility,Outpatient Dialysis Facility Events Per 1000 Beneficiaries,FQHC/RHC Standardized Costs,FQHC/RHC Standardized Costs as % of Total Standardized Costs,FQHC/RHC Per Capita Standardized Costs,FQHC/RHC Per User Standardized Costs,# FQHC/RHC Users,% of Beneficiaries Using FQHC/RHC,FQHC/RHC Visits Per 1000 Beneficiaries,Ambulance Standardized Costs,Ambulance Standardized Costs as % of Total Standardized Costs,Ambulance Per Capita Standardized Costs,Ambulance Per User Standardized Costs,# Ambulance Users,% of Beneficiaries Using Ambulance,Ambulance Events Per 1000 Beneficiaries,Part B Drugs Standardized Costs,Part B Drugs Standardized Costs as % of Total Standardized Costs,Part B Drugs Per Capita Standardized Costs,Part B Drugs Per User Standardized Costs,# Part B Drugs Users,% of Beneficiaries Using Part B Drugs,Other Services Standardized Costs
2017,,IL (Illinois),17,1736917.00,1250521.00,486396.00,28.00 %,75.00,56.74 %,43.26 %,82.08 %,8.28 %,5.04 %,4.60 %,11.33 %,12318176939.08,9850.44,27.90 %,2748.10,15303.79,17.96 %,285.00,1379.00,59058.00,17.73 %,749589.00,599.00,30.88 %,16.54 %,1629.09,2236.25,910996.00,72.85 %,5396.00,0.78 %,76.42,1038.65,92004.00,7.36 %,120.00,1311450147.84,10.65 %,1048.72,17066.62,76843.00,6.14 %,87.00,2201.00,272255401.55,2.21 %,217.71,21619.58,12593.00,1.01 %,11.00,100171189.30,0.81 %,80.10,47677.86,2101.00,0.17 %,679537216.91,5.52 %,543.40,5415.85,125472.00,10.03 %,189.00,390605250.83,3.17 %,312.35,10229.55,38184.00,3.05 %,31.00,1806.00,1271705799.39,10.32 %,1016.94,1118.43,1137043.00,90.93 %,13931.00,790746401.45,6.42 %,632.33,961.99,821985.00,65.73 %,5401.00,248845411.53,2.02 %,198.99,253.25,982604.00,78.58 %,7687.00,239816899.96,1.95 %,191.77,272.34,880575.00,70.42 %,3924.00,189933432.35,1.54 %,151.88,563.95,336790.00,26.93 %,1559.00,202653527.21,1.65 %,162.06,22080.36,9178.00,0.73 %,934.00,68879838.08,0.56 %,55.08,471.76,146007.00,11.68 %,487.00,161308494.83,1.31 %,128.99,1142.21,141225.00,11.29 %,366.00,610484776.30,4.96 %,488.18,871.71,700328.00,56.00 %,210448600.95
2016,,IL (Illinois),17,1696816.00,1264331.00,432485.00,25.49 %,76.00,56.85 %,43.15 %,82.24 %,8.47 %,4.96 %,4.32 %,11.19 %,12203324463.95,9652.00,27.81 %,2684.34,15009.88,17.88 %,283.00,1377.00,58101.00,17.45 %,745249.00,589.00,30.65 %,15.77 %,1522.12,2095.96,918178.00,72.62 %,5295.00,0.72 %,69.19,971.45,90052.00,7.12 %,115.00,1353598237.84,11.09 %,1070.60,17102.76,79145.00,6.26 %,88.00,2320.00,275877420.25,2.26 %,218.20,20570.98,13411.00,1.06 %,12.00,107462080.21,0.88 %,85.00,47931.35,2242.00,0.18 %,744724865.94,6.10 %,589.03,5521.43,134879.00,10.67 %,209.00,369791566.61,3.03 %,292.48,9927.29,37250.00,2.95 %,30.00,1701.00,1258173478.19,10.31 %,995.13,1093.73,1150347.00,90.98 %,13740.00,786922551.27,6.45 %,622.40,956.51,822701.00,65.07 %,5188.00,246743552.24,2.02 %,195.16,248.36,993471.00,78.58 %,7787.00,234020727.72,1.92 %,185.09,264.45,884934.00,69.99 %,4030.00,208124794.66,1.71 %,164.61,600.82,346400.00,27.40 %,1611.00,201888231.71,1.65 %,159.68,22047.42,9157.00,0.72 %,921.00,62033393.28,0.51 %,49.06,440.20,140921.00,11.15 %,463.00,164031811.60,1.34 %,129.74,1157.05,141767.00,11.21 %,371.00,576759761.03,4.73 %,456.18,824.53,699504.00,55.33 %,207328551.17
2015,,IL (Illinois),17,1657463.00,1250719.00,406744.00,24.54 %,76.00,56.99 %,43.01 %,82.86 %,8.40 %,4.78 %,3.95 %,10.67 %,11938083340.17,9544.98,27.62 %,2636.19,14499.93,18.18 %,288.00,1414.00,58937.00,17.52 %,729829.00,584.00,30.66 %,15.06 %,1437.79,2002.38,898068.00,71.80 %,5061.00,0.69 %,66.23,949.88,87204.00,6.97 %,112.00,1381630739.09,11.57 %,1104.67,17225.38,80209.00,6.41 %,90.00,2459.00,274958635.46,2.30 %,219.84,19878.44,13832.00,1.11 %,12.00,108618040.70,0.91 %,86.84,47245.78,2299.00,0.18 %,795185111.28,6.66 %,635.78,5734.33,138671.00,11.09 %,229.00,351379532.51,2.94 %,280.94,9615.25,36544.00,2.92 %,30.00,1655.00,1244232714.02,10.42 %,994.81,1094.29,1137019.00,90.91 %,13531.00,753882648.91,6.31 %,602.76,953.53,790625.00,63.21 %,4893.00,242658318.32,2.03 %,194.02,246.88,982886.00,78.59 %,7939.00,230727933.05,1.93 %,184.48,263.15,876805.00,70.10 %,4090.00,237766129.51,1.99 %,190.10,692.03,343578.00,27.47 %,1613.00,195820904.13,1.64 %,156.57,22214.51,8815.00,0.70 %,876.00,57198178.20,0.48 %,45.73,425.14,134541.00,10.76 %,445.00,162136126.69,1.36 %,129.63,1148.35,141191.00,11.29 %,367.00,523353126.11,4.38 %,418.44,755.84,692416.00,55.36 %,200288367.17
2018,,IN (Indiana),18,991861.00,663451.00,328410.00,33.11 %,75.00,57.25 %,42.75 %,91.14 %,4.60 %,1.41 %,2.86 %,11.49 %,6584602735.01,9924.78,27.24 %,2703.27,15524.56,17.41 %,268.00,1277.00,27007.00,16.34 %,397954.00,600.00,31.15 %,18.97 %,1883.19,2481.80,503425.00,75.88 %,5420.00,1.33 %,132.10,1175.46,74559.00,11.24 %,187.00,682949701.42,10.37 %,1029.39,16978.66,40224.00,6.06 %,84.00,2202.00,165914054.39,2.52 %,250.08,22273.33,7449.00,1.12 %,13.00,55396138.00,0.84 %,83.50,43076.31,1286.00,0.19 %,263866756.53,4.01 %,397.72,5275.12,50021.00,7.54 %,127.00,267692287.49,4.07 %,403.48,11532.00,23213.00,3.50 %,36.00,2402.00,594338629.81,9.03 %,895.83,968.69,613545.00,92.48 %,12791.00,388720558.93,5.90 %,585.91,879.35,442052.00,66.63 %,4594.00,143341821.89,2.18 %,216.05,270.51,529896.00,79.87 %,7168.00,113978328.51,1.73 %,171.80,241.27,472412.00,71.21 %,3862.00,126744531.67,1.92 %,191.04,650.59,194815.00,29.36 %,1792.00,101969708.72,1.55 %,153.70,23201.30,4395.00,0.66 %,841.00,19875835.91,0.30 %,29.96,421.55,47149.00,7.11 %,255.00,73346130.23,1.11 %,110.55,1070.22,68534.00,10.33 %,332.00,310697750.13,4.72 %,468.31,749.06,414784.00,62.52 %,145236157.79
2017,,IN (Indiana),18,967291.00,676135.00,291156.00,30.10 %,75.00,57.32 %,42.68 %,91.18 %,4.83 %,1.36 %,2.63 %,11.45 %,6507372505.43,9624.37,27.91 %,2686.08,15084.96,17.81 %,272.00,1312.00,27307.00,16.05 %,409677.00,606.00,31.51 %,17.81 %,1714.47,2287.84,506685.00,74.94 %,5315.00,1.31 %,125.68,1134.41,74909.00,11.08 %,185.00,728285728.36,11.19 %,1077.13,17351.70,41972.00,6.21 %,85.00,2390.00,158642008.79,2.44 %,234.63,21423.63,7405.00,1.10 %,12.00,66579227.87,1.02 %,98.47,43065.48,1546.00,0.23 %,267325536.17,4.11 %,395.37,5217.94,51232.00,7.58 %,128.00,267268281.97,4.11 %,395.29,11558.55,23123.00,3.42 %,36.00,2376.00,590462928.40,9.07 %,873.29,943.72,625672.00,92.54 %,12678.00,382361630.93,5.88 %,565.51,853.72,447878.00,66.24 %,4400.00,133821284.33,2.06 %,197.92,248.31,538931.00,79.71 %,7215.00,114059869.17,1.75 %,168.69,237.69,479859.00,70.97 %,3827.00,113172037.75,1.74 %,167.38,577.34,196024.00,28.99 %,1755.00,98057128.80,1.51 %,145.03,21839.00,4490.00,0.66 %,838.00,15670332.60,0.24 %,23.18,386.28,40567.00,6.00 %,215.00,78243685.67,1.20 %,115.72,1083.67,72203.00,10.68 %,355.00,288912832.20,4.44 %,427.30,703.51,410674.00,60.74 %,144164409.11
2016,,IN (Indiana),18,941758.00,674540.00,267218.00,28.37 %,75.00,57.49 %,42.51 %,91.31 %,4.96 %,1.33 %,2.40 %,11.61 %,6418428244.06,9515.27,28.01 %,2664.89,14887.35,17.90 %,274.00,1347.00,27040.00,15.85 %,408043.00,605.00,31.56 %,16.71 %,1590.04,2144.69,500093.00,74.14 %,5172.00,1.22 %,116.23,1057.65,74131.00,10.99 %,180.00,760189699.11,11.84 %,1126.97,17439.14,43591.00,6.46 %,88.00,2588.00,165566752.52,2.58 %,245.45,21169.51,7821.00,1.16 %,13.00,69909481.27,1.09 %,103.64,41317.66,1692.00,0.25 %,277497847.73,4.32 %,411.39,5291.62,52441.00,7.77 %,134.00,263740536.60,4.11 %,390.99,11410.92,23113.00,3.43 %,36.00,2377.00,588126736.87,9.16 %,871.89,942.70,623871.00,92.49 %,12606.00,376419229.54,5.86 %,558.04,852.21,441696.00,65.48 %,4215.00,127876472.61,1.99 %,189.58,239.60,533719.00,79.12 %,7301.00,113359065.35,1.77 %,168.05,238.42,475454.00,70.49 %,3921.00,124797253.48,1.94 %,185.01,624.80,199739.00,29.61 %,1830.00,98710221.41,1.54 %,146.34,22347.80,4417.00,0.65 %,854.00,13897976.47,0.22 %,20.60,359.19,38693.00,5.74 %,210.00,79772546.19,1.24 %,118.26,1083.06,73655.00,10.92 %,367.00,270032311.62,4.21 %,400.32,669.78,403166.00,59.77 %,140008915.69
2015,,IN (Indiana),18,918748.00,672363.00,246385.00,26.82 %,76.00,57.55 %,42.45 %,91.15 %,5.19 %,1.53 %,2.13 %,11.31 %,6396264525.69,9513.11,27.78 %,2642.48,14414.54,18.33 %,282.00,1404.00,28220.00,16.10 %,401021.00,596.00,31.38 %,15.55 %,1479.38,2011.57,494477.00,73.54 %,5002.00,1.17 %,111.07,1045.40,71436.00,10.62 %,175.00,810383278.44,12.67 %,1205.28,17945.11,45159.00,6.72 %,92.00,2819.00,167632556.96,2.62 %,249.32,20756.88,8076.00,1.20 %,14.00,87091095.46,1.36 %,129.53,44685.02,1949.00,0.29 %,284498748.47,4.45 %,423.13,5352.55,53152.00,7.91 %,138.00,244329290.77,3.82 %,363.39,10962.37,22288.00,3.31 %,34.00,2219.00,599946715.89,9.38 %,892.30,964.74,621875.00,92.49 %,12560.00,370685952.61,5.80 %,551.32,863.08,429493.00,63.88 %,3988.00,130103828.88,2.03 %,193.50,245.21,530587.00,78.91 %,7473.00,113937666.86,1.78 %,169.46,239.08,476571.00,70.88 %,4009.00,146249863.88,2.29 %,217.52,728.80,200673.00,29.85 %,1860.00,99132656.54,1.55 %,147.44,22202.16,4465.00,0.66 %,834.00,13202632.35,0.21 %,19.64,345.88,38171.00,5.68 %,205.00,86552257.41,1.35 %,128.73,1159.55,74643.00,11.10 %,401.00,256188329.66,4.01 %,381.03,631.39,405754.00,60.35 %,140265896.21
2018,,IA (Iowa),19,515745.00,403367.00,112378.00,21.79 %,76.00,56.29 %,43.71 %,95.57 %,0.87 %,0.96 %,2.60 %,8.31 %,3474212554.88,8613.03,25.77 %,2219.58,14270.98,15.55 %,224.00,1015.00,11981.00,14.13 %,221261.00,549.00,29.26 %,24.13 %,2078.09,2837.24,295440.00,73.24 %,6166.00,0.88 %,76.12,1142.91,26864.00,6.66 %,106.00,336149906.36,9.68 %,833.36,16176.61,20780.00,5.15 %,68.00,1405.00,40344119.31,1.16 %,100.02,20957.98,1925.00,0.48 %,5.00,17130289.30,0.49 %,42.47,42718.93,401.00,0.10 %,90050536.33,2.59 %,223.25,4380.32,20558.00,5.10 %,76.00,134303002.91,3.87 %,332.95,9832.56,13659.00,3.39 %,35.00,1943.00,264476972.20,7.61 %,655.67,724.79,364902.00,90.46 %,9850.00,209798369.66,6.04 %,520.12,804.45,260798.00,64.66 %,4436.00,66619179.45,1.92 %,165.16,215.96,308486.00,76.48 %,6785.00,66955190.33,1.93 %,165.99,240.07,278896.00,69.14 %,3322.00,64264788.33,1.85 %,159.32,547.82,117310.00,29.08 %,1742.00,36587917.85,1.05 %,90.71,23393.81,1564.00,0.39 %,497.00,63148679.26,1.82 %,156.55,682.39,92540.00,22.94 %,1017.00,29757563.53,0.86 %,73.77,880.36,33802.00,8.38 %,166.00,214409001.39,6.17 %,531.55,935.48,229198.00,56.82 %,75976255.04
2017,,IA (Iowa),19,504119.00,402205.00,101914.00,20.22 %,76.00,56.53 %,43.47 %,95.58 %,0.92 %,0.97 %,2.53 %,9.05 %,3349299489.29,8327.34,27.12 %,2257.99,13942.50,16.19 %,234.00,1067.00,12537.00,14.23 %,225972.00,562.00,29.72 %,22.52 %,1875.27,2573.33,293100.00,72.87 %,6062.00,0.89 %,74.12,1122.15,26567.00,6.61 %,106.00,349487041.22,10.43 %,868.93,16107.62,21697.00,5.39 %,72.00,1486.00,38079815.73,1.14 %,94.68,21026.96,1811.00,0.45 %,5.00,19673924.01,0.59 %,48.92,47752.24,412.00,0.10 %,88690771.10,2.65 %,220.51,4239.93,20918.00,5.20 %,77.00,130896058.46,3.91 %,325.45,9389.96,13940.00,3.47 %,36.00,1901.00,262357295.89,7.83 %,652.30,719.47,364654.00,90.66 %,9842.00,204145386.63,6.10 %,507.57,786.95,259413.00,64.50 %,4319.00,61955850.48,1.85 %,154.04,202.05,306631.00,76.24 %,6890.00,65871598.93,1.97 %,163.78,237.71,277109.00,68.90 %,3326.00,57404906.80,1.71 %,142.73,492.40,116581.00,28.99 %,1740.00,34099658.44,1.02 %,84.78,21886.82,1558.00,0.39 %,494.00,54574979.75,1.63 %,135.69,630.19,86601.00,21.53 %,944.00,30739141.00,0.92 %,76.43,896.29,34296.00,8.53 %,169.00,188329726.45,5.62 %,468.24,835.84,225318.00,56.02 %,70765122.80
2016,,IA (Iowa),19,491637.00,395215.00,96422.00,19.61 %,76.00,56.81 %,43.19 %,95.85 %,0.92 %,0.92 %,2.31 %,9.22 %,3179903524.02,8046.01,27.41 %,2205.53,13680.36,16.12 %,233.00,1079.00,12237.00,14.30 %,217959.00,551.00,29.36 %,21.46 %,1726.40,2386.23,285932.00,72.35 %,5869.00,0.84 %,67.96,1044.11,25724.00,6.51 %,104.00,341526764.78,10.74 %,864.15,15763.26,21666.00,5.48 %,73.00,1563.00,32949922.91,1.04 %,83.37,20066.94,1642.00,0.42 %,4.00,21456823.08,0.67 %,54.29,47681.83,450.00,0.11 %,86957769.13,2.73 %,220.03,4199.84,20705.00,5.24 %,78.00,126942636.13,3.99 %,321.20,9307.33,13639.00,3.45 %,36.00,1897.00,254566647.56,8.01 %,644.12,709.72,358686.00,90.76 %,9742.00,197407499.89,6.21 %,499.49,781.98,252447.00,63.88 %,4133.00,59633992.88,1.88 %,150.89,197.64,301725.00,76.34 %,7018.00,62042276.50,1.95 %,156.98,229.88,269884.00,68.29 %,3474.00,64690818.44,2.03 %,163.69,559.82,115557.00,29.24 %,1762.00,33428882.49,1.05 %,84.58,22123.68,1511.00,0.38 %,491.00,45303524.08,1.42 %,114.63,560.71,80796.00,20.44 %,890.00,28670353.98,0.90 %,72.54,857.45,33437.00,8.46 %,167.00,176568415.33,5.55 %,446.77,815.28,216574.00,54.80 %,66941154.47
2015,,IA (Iowa),19,480524.00,400939.00,79585.00,16.56 %,76.00,56.95 %,43.05 %,96.15 %,0.98 %,0.86 %,2.01 %,9.15 %,3234413081.67,8067.10,27.79 %,2241.48,13316.00,16.83 %,245.00,1147.00,13411.00,14.72 %,224082.00,559.00,29.88 %,20.32 %,1638.92,2263.66,290285.00,72.40 %,5748.00,0.76 %,61.19,998.46,24572.00,6.13 %,95.00,374469346.62,11.58 %,933.98,15791.73,23713.00,5.91 %,78.00,1702.00,36170634.84,1.12 %,90.21,18977.25,1906.00,0.48 %,5.00,21030002.63,0.65 %,52.45,43540.38,483.00,0.12 %,92267655.33,2.85 %,230.13,4089.88,22560.00,5.63 %,83.00,120351469.47,3.72 %,300.17,8719.86,13802.00,3.44 %,35.00,1830.00,268520639.07,8.30 %,669.73,734.20,365734.00,91.22 %,9906.00,199569347.55,6.17 %,497.75,791.42,252166.00,62.89 %,3952.00,59456007.34,1.84 %,148.29,193.17,307794.00,76.77 %,7202.00,63607694.06,1.97 %,158.65,229.58,277067.00,69.10 %,3586.00,75072247.21,2.32 %,187.24,640.15,117273.00,29.25 %,1744.00,35360295.59,1.09 %,88.19,22309.33,1585.00,0.40 %,506.00,39948853.04,1.24 %,99.64,534.10,74796.00,18.66 %,800.00,31259196.45,0.97 %,77.96,890.85,35089.00,8.75 %,171.00,172320031.85,5.33 %,429.79,760.91,226466.00,56.48 %,64672534.82
2018,,KS (Kansas),20,429283.00,348687.00,80596.00,18.77 %,75.00,55.98 %,44.02 %,91.44 %,2.67 %,2.70 %,3.19 %,7.77 %,3482336377.72,9987.00,26.32 %,2628.99,14799.45,17.76 %,266.00,1194.00,13241.00,15.24 %,195241.00,560.00,30.03 %,18.42 %,1840.06,2712.23,236560.00,67.84 %,5177.00,1.34 %,133.38,1154.01,40301.00,11.56 %,185.00,400402042.39,11.50 %,1148.31,19462.50,20573.00,5.90 %,81.00,1743.00,90272095.54,2.59 %,258.89,21366.18,4225.00,1.21 %,13.00,21279164.56,0.61 %,61.03,42815.22,497.00,0.14 %,133755794.97,3.84 %,383.60,5321.71,25134.00,7.21 %,122.00,141757021.24,4.07 %,406.55,11736.80,12078.00,3.46 %,36.00,2409.00,266285520.75,7.65 %,763.68,840.25,316912.00,90.89 %,10946.00,209361876.30,6.01 %,600.43,914.79,228863.00,65.64 %,4809.00,73761524.58,2.12 %,211.54,266.65,276621.00,79.33 %,8224.00,69247780.06,1.99 %,198.60,276.93,250058.00,71.71 %,3796.00,69966909.60,2.01 %,200.66,730.94,95722.00,27.45 %,1743.00,37595689.38,1.08 %,107.82,22994.31,1635.00,0.47 %,610.00,60472941.20,1.74 %,173.43,649.65,93086.00,26.70 %,1273.00,33551345.70,0.96 %,96.22,967.45,34680.00,9.95 %,208.00,209853876.58,6.03 %,601.84,1023.75,204986.00,58.79 %,59967722.77
2017,,KS (Kansas),20,417639.00,344066.00,73573.00,17.62 %,76.00,56.07 %,43.93 %,91.48 %,2.79 %,2.67 %,3.06 %,8.06 %,3304306570.28,9603.70,27.10 %,2602.95,14510.46,17.94 %,268.00,1216.00,12958.00,15.10 %,193666.00,563.00,30.12 %,17.49 %,1679.82,2499.64,231221.00,67.20 %,5025.00,1.22 %,117.32,1036.84,38933.00,11.32 %,179.00,389503745.49,11.79 %,1132.06,18573.45,20971.00,6.10 %,83.00,1824.00,86913309.55,2.63 %,252.61,21518.52,4039.00,1.17 %,13.00,25072886.35,0.76 %,72.87,43453.88,577.00,0.17 %,135804347.71,4.11 %,394.70,5391.41,25189.00,7.32 %,128.00,131150739.33,3.97 %,381.18,11404.41,11500.00,3.34 %,35.00,2272.00,258353294.94,7.82 %,750.88,825.04,313141.00,91.01 %,10910.00,203951741.14,6.17 %,592.77,907.27,224797.00,65.34 %,4663.00,70162592.21,2.12 %,203.92,255.87,274212.00,79.70 %,8556.00,65704485.35,1.99 %,190.96,267.38,245738.00,71.42 %,3767.00,62494538.51,1.89 %,181.64,670.20,93247.00,27.10 %,1714.00,35085128.18,1.06 %,101.97,21551.06,1628.00,0.47 %,598.00,54855483.56,1.66 %,159.43,614.28,89301.00,25.95 %,1247.00,32428691.05,0.98 %,94.25,962.56,33690.00,9.79 %,204.00,182605891.03,5.53 %,530.73,926.35,197124.00,57.29 %,56298401.34
2016,,KS (Kansas),20,406263.00,339719.00,66544.00,16.38 %,76.00,56.40 %,43.60 %,91.69 %,2.87 %,2.61 %,2.83 %,8.33 %,3155568246.49,9288.76,26.91 %,2499.71,13978.81,17.88 %,266.00,1211.00,12435.00,14.86 %,184759.00,544.00,29.50 %,16.68 %,1549.36,2347.35,224230.00,66.00 %,4845.00,1.19 %,110.45,988.34,37963.00,11.17 %,176.00,386544058.25,12.25 %,1137.83,18083.93,21375.00,6.29 %,85.00,1917.00,81289043.42,2.58 %,239.28,20301.96,4004.00,1.18 %,13.00,24320726.05,0.77 %,71.59,40806.59,596.00,0.18 %,131241417.57,4.16 %,386.32,5370.16,24439.00,7.19 %,127.00,125449279.25,3.98 %,369.27,11020.76,11383.00,3.35 %,35.00,2223.00,253917092.28,8.05 %,747.43,820.36,309518.00,91.11 %,10856.00,199190774.48,6.31 %,586.34,901.17,221036.00,65.06 %,4506.00,68179117.85,2.16 %,200.69,252.13,270410.00,79.60 %,8778.00,64448575.97,2.04 %,189.71,267.24,241161.00,70.99 %,3893.00,70016389.29,2.22 %,206.10,753.45,92928.00,27.35 %,1761.00,34119839.32,1.08 %,100.44,22447.26,1520.00,0.45 %,587.00,49306807.80,1.56 %,145.14,576.63,85509.00,25.17 %,1209.00,30847571.15,0.98 %,90.80,946.30,32598.00,9.60 %,198.00,167675131.57,5.31 %,493.57,874.61,191715.00,56.43 %,55957527.68
2015,,KS (Kansas),20,396360.00,335717.00,60643.00,15.30 %,76.00,56.61 %,43.39 %,91.93 %,2.96 %,2.52 %,2.59 %,8.70 %,3096875503.02,9224.66,27.08 %,2497.75,13520.23,18.47 %,276.00,1288.00,12835.00,15.02 %,185001.00,551.00,29.91 %,16.17 %,1491.66,2271.80,220431.00,65.66 %,4790.00,1.07 %,99.00,889.93,37346.00,11.12 %,175.00,390940718.43,12.62 %,1164.49,17704.85,22081.00,6.58 %,89.00,2078.00,84446677.11,2.73 %,251.54,19534.28,4323.00,1.29 %,14.00,30641652.86,0.99 %,91.27,41185.02,744.00,0.22 %,122138799.52,3.94 %,363.81,5127.36,23821.00,7.10 %,121.00,117393293.44,3.79 %,349.68,10226.79,11479.00,3.42 %,36.00,2147.00,259371432.47,8.38 %,772.59,847.91,305896.00,91.12 %,10946.00,192993858.85,6.23 %,574.87,908.74,212376.00,63.26 %,4208.00,64873782.43,2.09 %,193.24,243.21,266740.00,79.45 %,8840.00,62510872.66,2.02 %,186.20,260.82,239670.00,71.39 %,3961.00,77718767.43,2.51 %,231.50,837.16,92836.00,27.65 %,1782.00,34435001.77,1.11 %,102.57,22491.84,1531.00,0.46 %,579.00,44705768.71,1.44 %,133.17,530.02,84348.00,25.12 %,1205.00,33697315.72,1.09 %,100.37,1010.57,33345.00,9.93 %,205.00,153652813.57,4.96 %,457.69,801.35,191742.00,57.11 %,54805336.74
2018,,KY (Kentucky),21,683462.00,444182.00,239280.00,35.01 %,75.00,55.75 %,44.25 %,93.41 %,4.13 %,0.50 %,1.95 %,15.41 %,4554571344.18,10253.84,28.34 %,2906.17,15886.26,18.29 %,291.00,1481.00,21988.00,18.05 %,299320.00,674.00,32.84 %,18.00 %,1846.10,2552.66,321236.00,72.32 %,4587.00,0.87 %,89.13,1079.72,36667.00,8.25 %,135.00,431208987.62,9.47 %,970.79,16797.51,25671.00,5.78 %,81.00,2032.00,123923883.26,2.72 %,278.99,21925.67,5652.00,1.27 %,14.00,46199935.39,1.01 %,104.01,41066.61,1125.00,0.25 %,259888791.80,5.71 %,585.10,5690.95,45667.00,10.28 %,193.00,128010282.30,2.81 %,288.19,9785.97,13081.00,2.94 %,30.00,1549.00,406915886.25,8.93 %,916.10,1010.51,402685.00,90.66 %,13373.00,259160482.87,5.69 %,583.46,866.87,298962.00,67.31 %,4864.00,126700243.24,2.78 %,285.24,344.22,368078.00,82.87 %,9415.00,79715012.60,1.75 %,179.46,251.00,317590.00,71.50 %,4109.00,103010044.34,2.26 %,231.91,706.71,145761.00,32.82 %,2173.00,58080701.42,1.28 %,130.76,21933.80,2648.00,0.60 %,706.00,39717917.61,0.87 %,89.42,508.21,78153.00,17.59 %,850.00,73796517.16,1.62 %,166.14,1256.81,58717.00,13.22 %,441.00,172895013.43,3.80 %,389.24,648.83,266470.00,59.99 %,94882603.47
