Measure_Name,State,Rank,Value,Score,Lower_CI,Upper_CI,Source,Source_Year
Able-bodied,Nebraska,27,66.3,0.06,67.4,65.2,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,New Hampshire,3,69.5,1.04,71.2,67.8,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,New Jersey,2,70,1.19,70.8,69.2,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,New Mexico,47,60,-1.86,61.5,58.5,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Nevada,24,66.4,0.09,67.8,65,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,New York,12,68.5,0.73,69,68,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Ohio,32,65.9,-0.06,66.6,65.2,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Oklahoma,50,57.4,-2,58.4,56.4,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Oregon,24,66.4,0.09,67.5,65.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Pennsylvania,21,66.8,0.21,67.3,66.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Rhode Island,17,67.6,0.46,69.9,65.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,South Carolina,34,65.7,-0.12,66.7,64.7,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,South Dakota,10,68.8,0.82,71.2,66.4,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Tennessee,41,62.6,-1.07,63.6,61.6,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Texas,38,63.6,-0.76,64.1,63.1,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Utah,19,67.1,0.31,68.4,65.8,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Virginia,20,66.9,0.24,67.6,66.2,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Vermont,14,68.1,0.61,70.5,65.7,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Washington,30,66,-0.03,66.7,65.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Wisconsin,4,69.4,1.01,70.2,68.6,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,West Virginia,48,58.8,-2,60.3,57.3,"U.S. Census Bureau, American Community Survey",2018
Able-bodied,Wyoming,29,66.1,0,69.1,63.1,"U.S. Census Bureau, American Community Survey",2018
Access to Care - Senior,Alaska,41,-0.718,-0.718,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Alabama,39,-0.564,-0.564,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Arkansas,19,0.164,0.164,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Arizona,32,-0.188,-0.188,,,America's Health Rankings composite measure,2020
Access to Care - Senior,California,13,0.47,0.47,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Colorado,11,0.498,0.498,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Connecticut,2,1.134,1.134,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Delaware,15,0.266,0.266,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Florida,37,-0.422,-0.422,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Georgia,49,-1.01,-1.01,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Hawaii,9,0.518,0.518,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Iowa,26,0.03,0.03,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Idaho,31,-0.134,-0.134,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Illinois,29,-0.126,-0.126,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Indiana,18,0.192,0.192,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Kansas,17,0.21,0.21,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Kentucky,47,-0.856,-0.856,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Louisiana,44,-0.8,-0.8,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Massachusetts,1,1.524,1.524,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Maryland,5,0.698,0.698,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Maine,3,0.876,0.876,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Michigan,35,-0.298,-0.298,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Minnesota,12,0.476,0.476,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Missouri,16,0.214,0.214,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Mississippi,46,-0.808,-0.808,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Montana,36,-0.344,-0.344,,,America's Health Rankings composite measure,2020
Access to Care - Senior,North Carolina,38,-0.476,-0.476,,,America's Health Rankings composite measure,2020
Access to Care - Senior,North Dakota,22,0.09,0.09,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Nebraska,23,0.06,0.06,,,America's Health Rankings composite measure,2020
Access to Care - Senior,New Hampshire,4,0.75,0.75,,,America's Health Rankings composite measure,2020
Access to Care - Senior,New Jersey,43,-0.748,-0.748,,,America's Health Rankings composite measure,2020
Access to Care - Senior,New Mexico,48,-0.956,-0.956,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Nevada,40,-0.71,-0.71,,,America's Health Rankings composite measure,2020
Access to Care - Senior,New York,21,0.116,0.116,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Ohio,23,0.06,0.06,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Oklahoma,29,-0.126,-0.126,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Oregon,20,0.13,0.13,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Pennsylvania,6,0.692,0.692,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Rhode Island,7,0.608,0.608,,,America's Health Rankings composite measure,2020
Access to Care - Senior,South Carolina,34,-0.254,-0.254,,,America's Health Rankings composite measure,2020
Access to Care - Senior,South Dakota,28,-0.102,-0.102,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Tennessee,50,-1.124,-1.124,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Texas,25,0.044,0.044,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Utah,27,-0.088,-0.088,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Virginia,33,-0.246,-0.246,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Vermont,8,0.534,0.534,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Washington,14,0.324,0.324,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Wisconsin,10,0.508,0.508,,,America's Health Rankings composite measure,2020
Access to Care - Senior,West Virginia,45,-0.802,-0.802,,,America's Health Rankings composite measure,2020
Access to Care - Senior,Wyoming,42,-0.726,-0.726,,,America's Health Rankings composite measure,2020
Access to Care - Senior,United States,,,,,,America's Health Rankings composite measure,2020
Access to Care - Senior,District of Columbia,,,,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Alaska,36,-0.083,-0.083,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Alabama,39,-0.183,-0.183,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Arkansas,33,-0.06,-0.06,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Arizona,28,0.043,0.043,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,California,40,-0.223,-0.223,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Colorado,10,0.77,0.77,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Connecticut,32,-0.04,-0.04,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Delaware,17,0.46,0.46,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Florida,41,-0.24,-0.24,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Georgia,42,-0.263,-0.263,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Hawaii,1,1.11,1.11,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Iowa,11,0.74,0.74,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Idaho,27,0.047,0.047,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Illinois,24,0.217,0.217,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Indiana,35,-0.073,-0.073,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Kansas,15,0.54,0.54,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Kentucky,45,-0.403,-0.403,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Louisiana,44,-0.277,-0.277,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Massachusetts,5,0.917,0.917,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Maryland,14,0.563,0.563,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Maine,6,0.893,0.893,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Michigan,22,0.343,0.343,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Minnesota,7,0.857,0.857,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Missouri,26,0.073,0.073,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Mississippi,48,-0.507,-0.507,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Montana,8,0.81,0.81,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,North Carolina,31,-0.03,-0.03,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,North Dakota,1,1.11,1.11,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Nebraska,13,0.687,0.687,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,New Hampshire,25,0.14,0.14,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,New Jersey,43,-0.267,-0.267,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,New Mexico,20,0.383,0.383,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Nevada,47,-0.453,-0.453,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,New York,8,0.81,0.81,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Ohio,21,0.367,0.367,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Oklahoma,49,-0.56,-0.56,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Oregon,16,0.513,0.513,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Pennsylvania,50,-0.597,-0.597,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Rhode Island,12,0.7,0.7,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,South Carolina,29,0.013,0.013,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,South Dakota,4,0.933,0.933,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Tennessee,38,-0.177,-0.177,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Texas,37,-0.157,-0.157,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Utah,19,0.437,0.437,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Virginia,33,-0.06,-0.06,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Vermont,3,1.067,1.067,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Washington,18,0.44,0.44,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Wisconsin,30,0,0,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,West Virginia,46,-0.45,-0.45,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,Wyoming,23,0.303,0.303,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,United States,,,,,,America's Health Rankings composite measure,2020
Air and Water Quality - Senior,District of Columbia,,,,,,America's Health Rankings composite measure,2020
Air Pollution,Alaska,10,6.4,-1.4,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Alabama,36,8.1,-0.21,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Arkansas,19,7.1,-0.91,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Arizona,49,9.7,0.91,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,California,50,12.8,2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Colorado,14,6.7,-1.19,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Connecticut,22,7.2,-0.84,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Delaware,40,8.3,-0.07,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Florida,25,7.4,-0.7,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Georgia,40,8.3,-0.07,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Hawaii,6,5.4,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Iowa,19,7.1,-0.91,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Idaho,15,6.8,-1.12,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Illinois,48,9.3,0.63,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Indiana,43,8.4,0,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Kansas,18,7,-0.98,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Kentucky,36,8.1,-0.21,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Louisiana,33,7.9,-0.35,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Massachusetts,9,6.3,-1.47,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Maryland,30,7.7,-0.49,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Maine,7,5.9,-1.75,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Michigan,34,8,-0.28,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Minnesota,11,6.6,-1.26,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Missouri,28,7.5,-0.63,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Mississippi,30,7.7,-0.49,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Montana,11,6.6,-1.26,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,North Carolina,22,7.2,-0.84,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,North Dakota,2,4.6,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Nebraska,19,7.1,-0.91,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,New Hampshire,1,4.4,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,New Jersey,36,8.1,-0.21,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,New Mexico,8,6,-1.68,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Nevada,46,9,0.42,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,New York,11,6.6,-1.26,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Ohio,45,8.5,0.07,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Oklahoma,39,8.2,-0.14,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Oregon,32,7.8,-0.42,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Pennsylvania,47,9.2,0.56,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Rhode Island,24,7.3,-0.77,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,South Carolina,25,7.4,-0.7,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,South Dakota,4,5.1,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Tennessee,25,7.4,-0.7,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Texas,40,8.3,-0.07,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Utah,43,8.4,0,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Virginia,17,6.9,-1.05,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Vermont,4,5.1,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Washington,34,8,-0.28,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Wisconsin,15,6.8,-1.12,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,West Virginia,29,7.6,-0.56,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,Wyoming,3,5,-2,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,United States,,8.4,,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
Air Pollution,District of Columbia,,9.8,,,,"U.S. Environmental Protection Agency; U.S. Census Bureau, Annual Estimates of the Resident Population: April 1, 2010 to July 1, 2018",2016-2018
All Determinants - Senior,Alaska,32,-0.073,-0.073,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Alabama,45,-0.473,-0.473,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Arkansas,42,-0.393,-0.393,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Arizona,26,0.104,0.104,,,America's Health Rankings composite measure,2020
All Determinants - Senior,California,24,0.117,0.117,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Colorado,2,0.808,0.808,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Connecticut,13,0.437,0.437,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Delaware,16,0.365,0.365,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Florida,33,-0.074,-0.074,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Georgia,39,-0.285,-0.285,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Hawaii,10,0.543,0.543,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Iowa,9,0.567,0.567,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Idaho,18,0.338,0.338,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Illinois,35,-0.096,-0.096,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Indiana,30,-0.044,-0.044,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Kansas,19,0.277,0.277,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Kentucky,48,-0.657,-0.657,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Louisiana,50,-0.887,-0.887,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Massachusetts,17,0.344,0.344,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Maryland,12,0.472,0.472,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Maine,7,0.604,0.604,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Michigan,27,0.088,0.088,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Minnesota,4,0.732,0.732,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Missouri,34,-0.087,-0.087,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Mississippi,49,-0.778,-0.778,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Montana,20,0.208,0.208,,,America's Health Rankings composite measure,2020
All Determinants - Senior,North Carolina,37,-0.174,-0.174,,,America's Health Rankings composite measure,2020
All Determinants - Senior,North Dakota,15,0.413,0.413,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Nebraska,11,0.475,0.475,,,America's Health Rankings composite measure,2020
All Determinants - Senior,New Hampshire,5,0.639,0.639,,,America's Health Rankings composite measure,2020
All Determinants - Senior,New Jersey,31,-0.066,-0.066,,,America's Health Rankings composite measure,2020
All Determinants - Senior,New Mexico,40,-0.337,-0.337,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Nevada,47,-0.649,-0.649,,,America's Health Rankings composite measure,2020
All Determinants - Senior,New York,38,-0.218,-0.218,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Ohio,29,-0.03,-0.03,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Oklahoma,41,-0.375,-0.375,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Oregon,8,0.579,0.579,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Pennsylvania,28,0.083,0.083,,,America's Health Rankings composite measure,2020
All Determinants - Senior,Rhode Island,25,0.107,0.107,,,America's Health Rankings composite measure,2020
All Determinants - Senior,South Carolina,36,-0.136,-0.136,,,America's Health Rankings composite measure,2020
All Determinants - Senior,South Dakota,22,0.177,0.177,,,America's Health Rankings composite measure,2020
