Year,National,State,State-FIPS-Code,Beneficiaries-with-Part-A-and-Part-B,FFS-Beneficiaries,MA-Beneficiaries,MA-Participation-Rate,Average-Age,Percent-Female,Percent-Male,Percent-Non-Hispanic-White,Percent-African-American,Percent-Hispanic,Percent-Other-Unknown,Percent-Eligible-for-Medicaid,Total-Standardized-Costs,Standardized-Per-Capita-Costs,IP-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,IP-Per-Capita-Standardized-Costs,IP-Per-User-Standardized-Costs,Percent-of-Beneficiaries-Using-IP,IP-Covered-Stays-Per-1000-Beneficiaries,IP-Covered-Days-Per-1000-Beneficiaries,Number-of-Acute-Hospital- Readmissions,Hospital-Readmission-Rate,Emergency-Department-Visits,Emergency-Department-Visits-per-1000-Beneficiaries,Perecnt-of-Beneficiaries-with-an-ED-Visit,OP-Standardized-Costs-as-of-Total-Standardized-Costs,OP-Per-Capita-Standardized-Costs,OP-Per-User-Standardized-Costs,Number-OP-Users,Percent-of-Beneficiaries-Using-OP,OP-Visits-Per-1000-Beneficiaries,ASC-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,ASC-Per-Capita-Standardized-Costs,ASC-Per-User-Standardized-Costs,Number-ASC-Users,Percent-of-Beneficiaries-Using-ASC,ASC-Events-Per-1000-Beneficiaries,PAC-SNF-Standardized-Costs,PAC-SNF-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-SNF-Per-Capita-Standardized-Costs,PAC-SNF-Per-User-Standardized-Costs,Number-PAC-SNF-Users-covered-stay,Percent-of-Beneficiaries-Using-PAC-SNF,PAC-SNF-Covered-Stays-Per-1000-Beneficiaries,PAC-SNF-Covered-Days-Per-1000-Beneficiaries,PAC-IRF-Standardized-Costs,PAC-IRF-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-IRF-Per-Capita-Standardized-Costs,PAC-IRF-Per-User-Standardized-Costs,Number-PAC-IRF-Users-covered-stay,Percent-of-Beneficiaries-Using-PAC-IRF,PAC-IRF-Covered-Stays-Per-1000-Beneficiaries,PAC-LTCH-Standardized-Costs,PAC-LTCH-Standardized-Costs-as-Perent-of-Total-Standardized-Costs,PAC-LTCH-Per-Capita-Standardized-Costs,PAC-LTCH-Per-User-Standardized-Costs,Number-PAC-LTCH-Users-with-covered-stay,Percent-of-Beneficiaries-Using-PAC-LTCH,PAC-HH-Standardized-Costs,PAC-HH-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,PAC-HH-Per-Capita-Standardized-Costs,PAC-HH-Per-User-Standardized-Costs,Number-PAC-HH-Users,Percent-of-Beneficiaries-Using-PAC-HH,PAC-HH-Episodes-Per-1000-Beneficiaries,Hospice-Standardized-Costs,Hospice-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Hospice-Per-Capita-Standardized-Costs,Hospice-Per-User-Standardized-Costs,Number-Hospice-Users-with-covered-stay,Percent-of-Beneficiaries-Using-Hospice,Hospice-Covered-Stays-Per-1000-Beneficiaries,Hospice-Covered-Days-Per-1000-Beneficiaries,EM-Standardized-Costs,EM-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,EM-Per-Capita-Standardized-Costs,EM-Per-User-Standardized-Costs,Number-EM-Users,Percent-of-Beneficiaries-Using-EM,EM-Events-Per-1000-Beneficiaries,Procedures-Standardized-Costs,Procedures-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Procedures-Per-Capita-Standardized-Costs,Procedure- Per-User-Standardized-Costs,Number-Procedure-Users,Percent-of-Beneficiaries-Using-Procedures,Procedure-Events-Per-1000-Beneficiaries,Tests-Standardized-Costs,Tests-Standardized-Costs as-Percent-of-Total-Standardized-Costs,Tests-Per-Capita-Standardized-Costs,Tests-Per-User-Standardized-Costs,Number-Test-Users,Number-of-Beneficiaries-Using-Tests,Test-Events-Per-1000-Beneficiaries,Imaging-Standardized-Costs,Imaging-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Imaging-Per-Capita-Standardized-Costs,Imaging-Per-User-Standardized-Costs,Number-Imaging-Users,Percent-of-Beneficiaries-Using-Imaging,Imaging-Events-Per-1000-Beneficiaries,DME-Standardized-Costs,DME-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,DME-Per-Capita-Standardized-Costs,DME-Per-User-Standardized-Costs,Number-DME-Users,Percent-of-Beneficiaries-Using-DME,DME-Events-Per-1000-Beneficiaries,Outpatient-Dialysis-Facility-Standardized-Costs,Outpatient-Dialysis-Facility-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Outpatient-Dialysis-Facility-Per-Capita-Standardized-Costs,Outpatient-Dialysis-Facility-Per-User-Standardized-Costs,Number-Outpatient-Dialysis-Facility-Users,Percent-of-Beneficiaries-Using-Outpatient-Dialysis-Facility,Outpatient-Dialysis-Facility-Events-Per-1000-Beneficiaries,FQHC-RHC-Standardized-Costs,FQHC-RHC-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,FQHC-RHC-Per-Capita-Standardized-Costs,FQHC-RHC-Per-User-Standardized-Costs,Number-FQHC-RHC-Users,Percent-of-Beneficiaries-Using-FQHC-RHC,FQHC-RHC-Visits-Per-1000-Beneficiaries,Ambulance-Standardized-Costs,Ambulance-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Ambulance-Per-Capita-Standardized-Costs,Ambulance-Per-User-Standardized-Costs,Number-Ambulance-Users,Percent-of-Beneficiaries-Using-Ambulance,Ambulance-Events-Per-1000-Beneficiaries,Part-B-Drugs-Standardized-Costs,Part-B-Drugs-Standardized-Costs-as-Percent-of-Total-Standardized-Costs,Part-B-Drugs-Per-Capita-Standardized-Costs,Part-B-Drugs-Per-User-Standardized-Costs,Number-Part-B-Drugs-Users,Percent-of-Beneficiaries-Using-Part-B-Drugs,Other-Services-Standardized-Costs
2018,,IL (Illinois),17,1776348,1251491,524857,29.55,75,56.6,43.4,81.92,8.19,5.04,4.85,11.4,12797156025,10225.53,27.21,2782.76,15756.93,17.66,282,1361,59303,17.84,751199,600,30.87,17.62,1802.01,2480.41,909208,72.65,5426,0.8,81.79,1084.16,94410,7.54,122,1292428506,10.1,1032.71,17312.71,74652,5.97,85,2131,277985436.5,2.17,222.12,21997.74,12637,1.01,11,88046361.5,0.69,70.35,49771.83,1769,0.14,697282236.8,5.45,557.16,5519.27,126336,10.09,192,406183409.8,3.17,324.56,10623.06,38236,3.06,31,1868,1290203876,10.08,1030.93,1134.48,1137268,90.87,14008,810849536.8,6.34,647.91,981.03,826525,66.04,5528,264666752.1,2.07,211.48,268.08,987282,78.89,7600,239916461.9,1.87,191.7,271.25,884488,70.67,3948,217289316.1,1.7,173.62,634.58,342412,27.36,1607,221242994.9,1.73,176.78,23536.49,9400,0.75,963,77314374.45,0.6,61.78,501.62,154130,12.32,513,162712049.2,1.27,130.01,1163.07,139899,11.18,364,682584455.7,5.33,545.42,947.93,720079,57.54,228292457.5
2017,,IL (Illinois),17,1736917,1250521,486396,28,75,56.74,43.26,82.08,8.28,5.04,4.6,11.33,12318176939,9850.44,27.9,2748.1,15303.79,17.96,285,1379,59058,17.73,749589,599,30.88,16.54,1629.09,2236.25,910996,72.85,5396,0.78,76.42,1038.65,92004,7.36,120,1311450148,10.65,1048.72,17066.62,76843,6.14,87,2201,272255401.6,2.21,217.71,21619.58,12593,1.01,11,100171189.3,0.81,80.1,47677.86,2101,0.17,679537216.9,5.52,543.4,5415.85,125472,10.03,189,390605250.8,3.17,312.35,10229.55,38184,3.05,31,1806,1271705799,10.32,1016.94,1118.43,1137043,90.93,13931,790746401.5,6.42,632.33,961.99,821985,65.73,5401,248845411.5,2.02,198.99,253.25,982604,78.58,7687,239816900,1.95,191.77,272.34,880575,70.42,3924,189933432.4,1.54,151.88,563.95,336790,26.93,1559,202653527.2,1.65,162.06,22080.36,9178,0.73,934,68879838.08,0.56,55.08,471.76,146007,11.68,487,161308494.8,1.31,128.99,1142.21,141225,11.29,366,610484776.3,4.96,488.18,871.71,700328,56,210448601
2016,,IL (Illinois),17,1696816,1264331,432485,25.49,76,56.85,43.15,82.24,8.47,4.96,4.32,11.19,12203324464,9652,27.81,2684.34,15009.88,17.88,283,1377,58101,17.45,745249,589,30.65,15.77,1522.12,2095.96,918178,72.62,5295,0.72,69.19,971.45,90052,7.12,115,1353598238,11.09,1070.6,17102.76,79145,6.26,88,2320,275877420.3,2.26,218.2,20570.98,13411,1.06,12,107462080.2,0.88,85,47931.35,2242,0.18,744724865.9,6.1,589.03,5521.43,134879,10.67,209,369791566.6,3.03,292.48,9927.29,37250,2.95,30,1701,1258173478,10.31,995.13,1093.73,1150347,90.98,13740,786922551.3,6.45,622.4,956.51,822701,65.07,5188,246743552.2,2.02,195.16,248.36,993471,78.58,7787,234020727.7,1.92,185.09,264.45,884934,69.99,4030,208124794.7,1.71,164.61,600.82,346400,27.4,1611,201888231.7,1.65,159.68,22047.42,9157,0.72,921,62033393.28,0.51,49.06,440.2,140921,11.15,463,164031811.6,1.34,129.74,1157.05,141767,11.21,371,576759761,4.73,456.18,824.53,699504,55.33,207328551.2
2015,,IL (Illinois),17,1657463,1250719,406744,24.54,76,56.99,43.01,82.86,8.4,4.78,3.95,10.67,11938083340,9544.98,27.62,2636.19,14499.93,18.18,288,1414,58937,17.52,729829,584,30.66,15.06,1437.79,2002.38,898068,71.8,5061,0.69,66.23,949.88,87204,6.97,112,1381630739,11.57,1104.67,17225.38,80209,6.41,90,2459,274958635.5,2.3,219.84,19878.44,13832,1.11,12,108618040.7,0.91,86.84,47245.78,2299,0.18,795185111.3,6.66,635.78,5734.33,138671,11.09,229,351379532.5,2.94,280.94,9615.25,36544,2.92,30,1655,1244232714,10.42,994.81,1094.29,1137019,90.91,13531,753882648.9,6.31,602.76,953.53,790625,63.21,4893,242658318.3,2.03,194.02,246.88,982886,78.59,7939,230727933.1,1.93,184.48,263.15,876805,70.1,4090,237766129.5,1.99,190.1,692.03,343578,27.47,1613,195820904.1,1.64,156.57,22214.51,8815,0.7,876,57198178.2,0.48,45.73,425.14,134541,10.76,445,162136126.7,1.36,129.63,1148.35,141191,11.29,367,523353126.1,4.38,418.44,755.84,692416,55.36,200288367.2
2018,,IN (Indiana),18,991861,663451,328410,33.11,75,57.25,42.75,91.14,4.6,1.41,2.86,11.49,6584602735,9924.78,27.24,2703.27,15524.56,17.41,268,1277,27007,16.34,397954,600,31.15,18.97,1883.19,2481.8,503425,75.88,5420,1.33,132.1,1175.46,74559,11.24,187,682949701.4,10.37,1029.39,16978.66,40224,6.06,84,2202,165914054.4,2.52,250.08,22273.33,7449,1.12,13,55396138,0.84,83.5,43076.31,1286,0.19,263866756.5,4.01,397.72,5275.12,50021,7.54,127,267692287.5,4.07,403.48,11532,23213,3.5,36,2402,594338629.8,9.03,895.83,968.69,613545,92.48,12791,388720558.9,5.9,585.91,879.35,442052,66.63,4594,143341821.9,2.18,216.05,270.51,529896,79.87,7168,113978328.5,1.73,171.8,241.27,472412,71.21,3862,126744531.7,1.92,191.04,650.59,194815,29.36,1792,101969708.7,1.55,153.7,23201.3,4395,0.66,841,19875835.91,0.3,29.96,421.55,47149,7.11,255,73346130.23,1.11,110.55,1070.22,68534,10.33,332,310697750.1,4.72,468.31,749.06,414784,62.52,145236157.8
2017,,IN (Indiana),18,967291,676135,291156,30.1,75,57.32,42.68,91.18,4.83,1.36,2.63,11.45,6507372505,9624.37,27.91,2686.08,15084.96,17.81,272,1312,27307,16.05,409677,606,31.51,17.81,1714.47,2287.84,506685,74.94,5315,1.31,125.68,1134.41,74909,11.08,185,728285728.4,11.19,1077.13,17351.7,41972,6.21,85,2390,158642008.8,2.44,234.63,21423.63,7405,1.1,12,66579227.87,1.02,98.47,43065.48,1546,0.23,267325536.2,4.11,395.37,5217.94,51232,7.58,128,267268282,4.11,395.29,11558.55,23123,3.42,36,2376,590462928.4,9.07,873.29,943.72,625672,92.54,12678,382361630.9,5.88,565.51,853.72,447878,66.24,4400,133821284.3,2.06,197.92,248.31,538931,79.71,7215,114059869.2,1.75,168.69,237.69,479859,70.97,3827,113172037.8,1.74,167.38,577.34,196024,28.99,1755,98057128.8,1.51,145.03,21839,4490,0.66,838,15670332.6,0.24,23.18,386.28,40567,6,215,78243685.67,1.2,115.72,1083.67,72203,10.68,355,288912832.2,4.44,427.3,703.51,410674,60.74,144164409.1
2016,,IN (Indiana),18,941758,674540,267218,28.37,75,57.49,42.51,91.31,4.96,1.33,2.4,11.61,6418428244,9515.27,28.01,2664.89,14887.35,17.9,274,1347,27040,15.85,408043,605,31.56,16.71,1590.04,2144.69,500093,74.14,5172,1.22,116.23,1057.65,74131,10.99,180,760189699.1,11.84,1126.97,17439.14,43591,6.46,88,2588,165566752.5,2.58,245.45,21169.51,7821,1.16,13,69909481.27,1.09,103.64,41317.66,1692,0.25,277497847.7,4.32,411.39,5291.62,52441,7.77,134,263740536.6,4.11,390.99,11410.92,23113,3.43,36,2377,588126736.9,9.16,871.89,942.7,623871,92.49,12606,376419229.5,5.86,558.04,852.21,441696,65.48,4215,127876472.6,1.99,189.58,239.6,533719,79.12,7301,113359065.4,1.77,168.05,238.42,475454,70.49,3921,124797253.5,1.94,185.01,624.8,199739,29.61,1830,98710221.41,1.54,146.34,22347.8,4417,0.65,854,13897976.47,0.22,20.6,359.19,38693,5.74,210,79772546.19,1.24,118.26,1083.06,73655,10.92,367,270032311.6,4.21,400.32,669.78,403166,59.77,140008915.7
2015,,IN (Indiana),18,918748,672363,246385,26.82,76,57.55,42.45,91.15,5.19,1.53,2.13,11.31,6396264526,9513.11,27.78,2642.48,14414.54,18.33,282,1404,28220,16.1,401021,596,31.38,15.55,1479.38,2011.57,494477,73.54,5002,1.17,111.07,1045.4,71436,10.62,175,810383278.4,12.67,1205.28,17945.11,45159,6.72,92,2819,167632557,2.62,249.32,20756.88,8076,1.2,14,87091095.46,1.36,129.53,44685.02,1949,0.29,284498748.5,4.45,423.13,5352.55,53152,7.91,138,244329290.8,3.82,363.39,10962.37,22288,3.31,34,2219,599946715.9,9.38,892.3,964.74,621875,92.49,12560,370685952.6,5.8,551.32,863.08,429493,63.88,3988,130103828.9,2.03,193.5,245.21,530587,78.91,7473,113937666.9,1.78,169.46,239.08,476571,70.88,4009,146249863.9,2.29,217.52,728.8,200673,29.85,1860,99132656.54,1.55,147.44,22202.16,4465,0.66,834,13202632.35,0.21,19.64,345.88,38171,5.68,205,86552257.41,1.35,128.73,1159.55,74643,11.1,401,256188329.7,4.01,381.03,631.39,405754,60.35,140265896.2
2018,,IA (Iowa),19,515745,403367,112378,21.79,76,56.29,43.71,95.57,0.87,0.96,2.6,8.31,3474212555,8613.03,25.77,2219.58,14270.98,15.55,224,1015,11981,14.13,221261,549,29.26,24.13,2078.09,2837.24,295440,73.24,6166,0.88,76.12,1142.91,26864,6.66,106,336149906.4,9.68,833.36,16176.61,20780,5.15,68,1405,40344119.31,1.16,100.02,20957.98,1925,0.48,5,17130289.3,0.49,42.47,42718.93,401,0.1,90050536.33,2.59,223.25,4380.32,20558,5.1,76,134303002.9,3.87,332.95,9832.56,13659,3.39,35,1943,264476972.2,7.61,655.67,724.79,364902,90.46,9850,209798369.7,6.04,520.12,804.45,260798,64.66,4436,66619179.45,1.92,165.16,215.96,308486,76.48,6785,66955190.33,1.93,165.99,240.07,278896,69.14,3322,64264788.33,1.85,159.32,547.82,117310,29.08,1742,36587917.85,1.05,90.71,23393.81,1564,0.39,497,63148679.26,1.82,156.55,682.39,92540,22.94,1017,29757563.53,0.86,73.77,880.36,33802,8.38,166,214409001.4,6.17,531.55,935.48,229198,56.82,75976255.04
2017,,IA (Iowa),19,504119,402205,101914,20.22,76,56.53,43.47,95.58,0.92,0.97,2.53,9.05,3349299489,8327.34,27.12,2257.99,13942.5,16.19,234,1067,12537,14.23,225972,562,29.72,22.52,1875.27,2573.33,293100,72.87,6062,0.89,74.12,1122.15,26567,6.61,106,349487041.2,10.43,868.93,16107.62,21697,5.39,72,1486,38079815.73,1.14,94.68,21026.96,1811,0.45,5,19673924.01,0.59,48.92,47752.24,412,0.1,88690771.1,2.65,220.51,4239.93,20918,5.2,77,130896058.5,3.91,325.45,9389.96,13940,3.47,36,1901,262357295.9,7.83,652.3,719.47,364654,90.66,9842,204145386.6,6.1,507.57,786.95,259413,64.5,4319,61955850.48,1.85,154.04,202.05,306631,76.24,6890,65871598.93,1.97,163.78,237.71,277109,68.9,3326,57404906.8,1.71,142.73,492.4,116581,28.99,1740,34099658.44,1.02,84.78,21886.82,1558,0.39,494,54574979.75,1.63,135.69,630.19,86601,21.53,944,30739141,0.92,76.43,896.29,34296,8.53,169,188329726.5,5.62,468.24,835.84,225318,56.02,70765122.8
2016,,IA (Iowa),19,491637,395215,96422,19.61,76,56.81,43.19,95.85,0.92,0.92,2.31,9.22,3179903524,8046.01,27.41,2205.53,13680.36,16.12,233,1079,12237,14.3,217959,551,29.36,21.46,1726.4,2386.23,285932,72.35,5869,0.84,67.96,1044.11,25724,6.51,104,341526764.8,10.74,864.15,15763.26,21666,5.48,73,1563,32949922.91,1.04,83.37,20066.94,1642,0.42,4,21456823.08,0.67,54.29,47681.83,450,0.11,86957769.13,2.73,220.03,4199.84,20705,5.24,78,126942636.1,3.99,321.2,9307.33,13639,3.45,36,1897,254566647.6,8.01,644.12,709.72,358686,90.76,9742,197407499.9,6.21,499.49,781.98,252447,63.88,4133,59633992.88,1.88,150.89,197.64,301725,76.34,7018,62042276.5,1.95,156.98,229.88,269884,68.29,3474,64690818.44,2.03,163.69,559.82,115557,29.24,1762,33428882.49,1.05,84.58,22123.68,1511,0.38,491,45303524.08,1.42,114.63,560.71,80796,20.44,890,28670353.98,0.9,72.54,857.45,33437,8.46,167,176568415.3,5.55,446.77,815.28,216574,54.8,66941154.47
2015,,IA (Iowa),19,480524,400939,79585,16.56,76,56.95,43.05,96.15,0.98,0.86,2.01,9.15,3234413082,8067.1,27.79,2241.48,13316,16.83,245,1147,13411,14.72,224082,559,29.88,20.32,1638.92,2263.66,290285,72.4,5748,0.76,61.19,998.46,24572,6.13,95,374469346.6,11.58,933.98,15791.73,23713,5.91,78,1702,36170634.84,1.12,90.21,18977.25,1906,0.48,5,21030002.63,0.65,52.45,43540.38,483,0.12,92267655.33,2.85,230.13,4089.88,22560,5.63,83,120351469.5,3.72,300.17,8719.86,13802,3.44,35,1830,268520639.1,8.3,669.73,734.2,365734,91.22,9906,199569347.6,6.17,497.75,791.42,252166,62.89,3952,59456007.34,1.84,148.29,193.17,307794,76.77,7202,63607694.06,1.97,158.65,229.58,277067,69.1,3586,75072247.21,2.32,187.24,640.15,117273,29.25,1744,35360295.59,1.09,88.19,22309.33,1585,0.4,506,39948853.04,1.24,99.64,534.1,74796,18.66,800,31259196.45,0.97,77.96,890.85,35089,8.75,171,172320031.9,5.33,429.79,760.91,226466,56.48,64672534.82
2018,,KS (Kansas),20,429283,348687,80596,18.77,75,55.98,44.02,91.44,2.67,2.7,3.19,7.77,3482336378,9987,26.32,2628.99,14799.45,17.76,266,1194,13241,15.24,195241,560,30.03,18.42,1840.06,2712.23,236560,67.84,5177,1.34,133.38,1154.01,40301,11.56,185,400402042.4,11.5,1148.31,19462.5,20573,5.9,81,1743,90272095.54,2.59,258.89,21366.18,4225,1.21,13,21279164.56,0.61,61.03,42815.22,497,0.14,133755795,3.84,383.6,5321.71,25134,7.21,122,141757021.2,4.07,406.55,11736.8,12078,3.46,36,2409,266285520.8,7.65,763.68,840.25,316912,90.89,10946,209361876.3,6.01,600.43,914.79,228863,65.64,4809,73761524.58,2.12,211.54,266.65,276621,79.33,8224,69247780.06,1.99,198.6,276.93,250058,71.71,3796,69966909.6,2.01,200.66,730.94,95722,27.45,1743,37595689.38,1.08,107.82,22994.31,1635,0.47,610,60472941.2,1.74,173.43,649.65,93086,26.7,1273,33551345.7,0.96,96.22,967.45,34680,9.95,208,209853876.6,6.03,601.84,1023.75,204986,58.79,59967722.77
2017,,KS (Kansas),20,417639,344066,73573,17.62,76,56.07,43.93,91.48,2.79,2.67,3.06,8.06,3304306570,9603.7,27.1,2602.95,14510.46,17.94,268,1216,12958,15.1,193666,563,30.12,17.49,1679.82,2499.64,231221,67.2,5025,1.22,117.32,1036.84,38933,11.32,179,389503745.5,11.79,1132.06,18573.45,20971,6.1,83,1824,86913309.55,2.63,252.61,21518.52,4039,1.17,13,25072886.35,0.76,72.87,43453.88,577,0.17,135804347.7,4.11,394.7,5391.41,25189,7.32,128,131150739.3,3.97,381.18,11404.41,11500,3.34,35,2272,258353294.9,7.82,750.88,825.04,313141,91.01,10910,203951741.1,6.17,592.77,907.27,224797,65.34,4663,70162592.21,2.12,203.92,255.87,274212,79.7,8556,65704485.35,1.99,190.96,267.38,245738,71.42,3767,62494538.51,1.89,181.64,670.2,93247,27.1,1714,35085128.18,1.06,101.97,21551.06,1628,0.47,598,54855483.56,1.66,159.43,614.28,89301,25.95,1247,32428691.05,0.98,94.25,962.56,33690,9.79,204,182605891,5.53,530.73,926.35,197124,57.29,56298401.34
2016,,KS (Kansas),20,406263,339719,66544,16.38,76,56.4,43.6,91.69,2.87,2.61,2.83,8.33,3155568246,9288.76,26.91,2499.71,13978.81,17.88,266,1211,12435,14.86,184759,544,29.5,16.68,1549.36,2347.35,224230,66,4845,1.19,110.45,988.34,37963,11.17,176,386544058.3,12.25,1137.83,18083.93,21375,6.29,85,1917,81289043.42,2.58,239.28,20301.96,4004,1.18,13,24320726.05,0.77,71.59,40806.59,596,0.18,131241417.6,4.16,386.32,5370.16,24439,7.19,127,125449279.3,3.98,369.27,11020.76,11383,3.35,35,2223,253917092.3,8.05,747.43,820.36,309518,91.11,10856,199190774.5,6.31,586.34,901.17,221036,65.06,4506,68179117.85,2.16,200.69,252.13,270410,79.6,8778,64448575.97,2.04,189.71,267.24,241161,70.99,3893,70016389.29,2.22,206.1,753.45,92928,27.35,1761,34119839.32,1.08,100.44,22447.26,1520,0.45,587,49306807.8,1.56,145.14,576.63,85509,25.17,1209,30847571.15,0.98,90.8,946.3,32598,9.6,198,167675131.6,5.31,493.57,874.61,191715,56.43,55957527.68
2015,,KS (Kansas),20,396360,335717,60643,15.3,76,56.61,43.39,91.93,2.96,2.52,2.59,8.7,3096875503,9224.66,27.08,2497.75,13520.23,18.47,276,1288,12835,15.02,185001,551,29.91,16.17,1491.66,2271.8,220431,65.66,4790,1.07,99,889.93,37346,11.12,175,390940718.4,12.62,1164.49,17704.85,22081,6.58,89,2078,84446677.11,2.73,251.54,19534.28,4323,1.29,14,30641652.86,0.99,91.27,41185.02,744,0.22,122138799.5,3.94,363.81,5127.36,23821,7.1,121,117393293.4,3.79,349.68,10226.79,11479,3.42,36,2147,259371432.5,8.38,772.59,847.91,305896,91.12,10946,192993858.9,6.23,574.87,908.74,212376,63.26,4208,64873782.43,2.09,193.24,243.21,266740,79.45,8840,62510872.66,2.02,186.2,260.82,239670,71.39,3961,77718767.43,2.51,231.5,837.16,92836,27.65,1782,34435001.77,1.11,102.57,22491.84,1531,0.46,579,44705768.71,1.44,133.17,530.02,84348,25.12,1205,33697315.72,1.09,100.37,1010.57,33345,9.93,205,153652813.6,4.96,457.69,801.35,191742,57.11,54805336.74
2018,,KY (Kentucky),21,683462,444182,239280,35.01,75,55.75,44.25,93.41,4.13,0.5,1.95,15.41,4554571344,10253.84,28.34,2906.17,15886.26,18.29,291,1481,21988,18.05,299320,674,32.84,18,1846.1,2552.66,321236,72.32,4587,0.87,89.13,1079.72,36667,8.25,135,431208987.6,9.47,970.79,16797.51,25671,5.78,81,2032,123923883.3,2.72,278.99,21925.67,5652,1.27,14,46199935.39,1.01,104.01,41066.61,1125,0.25,259888791.8,5.71,585.1,5690.95,45667,10.28,193,128010282.3,2.81,288.19,9785.97,13081,2.94,30,1549,406915886.3,8.93,916.1,1010.51,402685,90.66,13373,259160482.9,5.69,583.46,866.87,298962,67.31,4864,126700243.2,2.78,285.24,344.22,368078,82.87,9415,79715012.6,1.75,179.46,251,317590,71.5,4109,103010044.3,2.26,231.91,706.71,145761,32.82,2173,58080701.42,1.28,130.76,21933.8,2648,0.6,706,39717917.61,0.87,89.42,508.21,78153,17.59,850,73796517.16,1.62,166.14,1256.81,58717,13.22,441,172895013.4,3.8,389.24,648.83,266470,59.99,94882603.47
2017,,KY (Kentucky),21,667127,446567,220560,33.06,75,55.95,44.05,93.48,4.23,0.48,1.81,16.05,4414439881,9885.28,29.36,2902.34,15335.07,18.93,301,1540,22661,17.97,305138,683,33.27,16.65,1646.37,2286.99,321477,71.99,4480,0.85,84.22,1054.58,35664,7.99,132,446874706.3,10.12,1000.69,16558.89,26987,6.04,84,2155,118153649.3,2.68,264.58,21747.4,5433,1.22,14,47989980.09,1.09,107.46,42619.88,1126,0.25,262614178.1,5.95,588.07,5656.98,46423,10.4,197,117599342.4,2.66,263.34,9314.06,12626,2.83,29,1413,404564751.1,9.16,905.94,996.78,405873,90.89,13387,249994060.2,5.66,559.81,836.12,298993,66.95,4594,116219951.2,2.63,260.25,314.02,370102,82.88,9470,78367039.84,1.78,175.49,245.12,319706,71.59,4132,90373748.43,2.05,202.37,620.23,145710,32.63,2170,54480471.79,1.23,122,21043.06,2589,0.58,691,37096874.84,0.84,83.07,504.58,73521,16.46,807,76117463.27,1.72,170.45,1270.22,59925,13.42,463,152503659.4,3.45,341.5,575.65,264926,59.33,92576626.22
2016,,KY (Kentucky),21,650689,445171,205518,31.58,75,56.16,43.84,93.62,4.24,0.47,1.67,16.48,4291439735,9639.98,30.06,2897.62,15190.92,19.07,304,1585,22782,18.02,301613,678,33.08,15.4,1484.08,2094.7,315400,70.85,4283,0.8,77.47,1007.41,34235,7.69,126,453799998.1,10.57,1019.38,16234.39,27953,6.28,88,2264,110059195.6,2.56,247.23,21251.05,5179,1.16,13,47328065.61,1.1,106.31,42370.69,1117,0.25,262522148.3,6.12,589.71,5699.69,46059,10.35,200,111944004,2.61,251.46,9133.07,12257,2.75,28,1374,399301751,9.3,896.96,987.07,404531,90.87,13213,245418793.4,5.72,551.29,841.18,291754,65.54,4354,108174086.2,2.52,242.99,294.19,367702,82.6,9583,75918272.47,1.77,170.54,240.86,315200,70.8,4216,99818664.77,2.33,224.23,683.47,146046,32.81,2234,52524036.01,1.22,117.99,20859.43,2518,0.57,675,31747290.52,0.74,71.31,474.71,66877,15.02,709,76370080.21,1.78,171.55,1269.43,60161,13.51,477,143082048.4,3.33,321.41,552.1,259161,58.22,88336608.98
2015,,KY (Kentucky),21,634019,441688,192331,30.34,75,56.39,43.61,93.74,4.31,0.45,1.5,17.08,4228316785,9573.09,29.97,2869.44,14694.47,19.53,313,1653,23356,18.07,299274,678,33.16,14.69,1406.4,2010.92,308908,69.94,4111,0.73,69.94,945.23,32684,7.4,119,459296361,10.86,1039.87,16007.26,28693,6.5,91,2371,109131373.7,2.58,247.08,20653.17,5284,1.2,13,53791615.54,1.27,121.79,46093.93,1167,0.26,260111235.4,6.15,588.9,5613.35,46338,10.49,202,103821722.7,2.46,235.06,8998.24,11538,2.61,27,1325,404212646.3,9.56,915.15,1008.5,400805,90.74,13099,236506078.1,5.59,535.46,846.32,279451,63.27,4027,112494337.8,2.66,254.69,310.01,362876,82.16,9813,75616623.8,1.79,171.2,241.32,313345,70.94,4288,114362574.5,2.7,258.92,784.49,145779,33,2259,52329974.04,1.24,118.48,21561.59,2427,0.55,661,30041775.61,0.71,68.02,478.3,62809,14.22,676,81668267.19,1.93,184.9,1348.34,60569,13.71,493,131294913.5,3.11,297.26,509.65,257619,58.33,84156523.99
